iter	Passed	Remaining
353	94347	38911
354	94621	38648
355	94907	38389
356	95202	38134
357	95444	37857
358	95714	37592
359	95993	37330
360	96275	37070
361	96559	36809
362	96865	36557
363	97155	36299
364	97428	36035
365	97712	35774
366	97953	35498
367	98225	35233
368	98529	34979
369	98789	34709
370	99050	34440
371	99326	34176
372	99612	33916
373	99906	33658
374	100240	33413
375	100519	33150
376	100812	32891
377	101105	32631
378	101372	32364
379	101642	32097
380	101921	31833
381	102184	31564
382	102469	31302
383	102742	31036
384	103045	30779
385	103332	30517
386	103609	30252
387	103900	29991
388	104188	29729
389	104495	29473
390	104818	29220
391	105114	28959
392	105368	28687
393	105630	28418
394	105937	28160
395	106268	27908
396	106614	27660
397	106908	27398
398	107200	27135
399	107547	26886
400	107856	26627
401	108151	26365
402	108445	26102
403	108694	25828
404	108987	25565
405	109255	25295
406	109538	25029
407	109795	24757
408	110099	24496
409	110376	24228
410	110720	23975
411	111011	23711
412	111310	23447
413	111641	23191
414	111974	22934
415	112307	22677
416	112640	22420
417	112949	22157
418	113236	21890
419	113582	21634
420	113891	21371
421	114190	21106
422	114468	20837
423	114764	20571
424	115069	20306
425	115380	20042
426	115684	19777
427	115970	19509
428	116251	19239
429	116552	18973
430	116844	18705
431	117122	18435
432	117429	18170
433	117750	17906
434	118054	17640
435	118361	17374
436	118642	17104
437	118945	16836
438	119227	16566
439	119513	16297
440	119785	16025
441	120088	15758
442	120358	15486
443	120628	15214
444	120901	14942
445	121215	14676
446	121496	14405
447	121810	14138
448	122114	13870
449	122415	13601
450	122722	13333
451	122997	13061
452	123292	12791
453	123604	12523
454	123900	12253
455	124199	11984
456	124480	11712
457	124762	11441
458	125042	11169
459	125309	10896
460	125611	10626
461	125908	10356
462	126208	10085
463	126464	9811
464	126757	9540
465	127044	9269
466	127345	8998
467	127646	8727
468	127931	8456
469	128241	8185
470	128539	7914
471	128818	7641
472	129124	7370
473	129422	7099
474	129704	6826
475	130003	6554
476	130290	6282
477	130567	6009
478	130856	5736
479	131142	5464
480	131430	5191
481	131744	4919
482	132057	4647
483	132359	4375
484	132647	4102
485	132926	3829
486	133252	3557
487	133531	3283
488	133823	3010
489	134106	2736
490	134444	2464
491	134740	2190
492	135043	1917
493	135342	1643
494	135644	1370
495	135917	1096
496	136206	822
497	136533	548
498	136828	274
499	137120	0
